T24,CO2 emission estimates,,,,,
232,Eritrea,1995,Emissions per capita (metric tons of carbon dioxide),0.2510,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
232,Eritrea,2005,Emissions per capita (metric tons of carbon dioxide),0.1460,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
232,Eritrea,2010,Emissions per capita (metric tons of carbon dioxide),0.1090,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
232,Eritrea,2015,Emissions per capita (metric tons of carbon dioxide),0.1220,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
232,Eritrea,2016,Emissions per capita (metric tons of carbon dioxide),0.1210,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
232,Eritrea,2017,Emissions per capita (metric tons of carbon dioxide),0.1250,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
233,Estonia,1995,Emissions (thousand metric tons of carbon dioxide),15889.3130,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
233,Estonia,2005,Emissions (thousand metric tons of carbon dioxide),16747.6950,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
233,Estonia,2010,Emissions (thousand metric tons of carbon dioxide),18563.9980,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
233,Estonia,2015,Emissions (thousand metric tons of carbon dioxide),15147.8580,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
233,Estonia,2016,Emissions (thousand metric tons of carbon dioxide),15460.8780,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
233,Estonia,2017,Emissions (thousand metric tons of carbon dioxide),15972.0290,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
233,Estonia,1995,Emissions per capita (metric tons of carbon dioxide),10.9730,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
233,Estonia,2005,Emissions per capita (metric tons of carbon dioxide),12.3240,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
233,Estonia,2010,Emissions per capita (metric tons of carbon dioxide),13.9260,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
233,Estonia,2015,Emissions per capita (metric tons of carbon dioxide),11.5370,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
233,Estonia,2016,Emissions per capita (metric tons of carbon dioxide),11.7480,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
233,Estonia,2017,Emissions per capita (metric tons of carbon dioxide),12.1370,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
231,Ethiopia,1975,Emissions (thousand metric tons of carbon dioxide),1178.1100,Including Eritrea.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
231,Ethiopia,1985,Emissions (thousand metric tons of carbon dioxide),1385.9770,Including Eritrea.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
231,Ethiopia,1995,Emissions (thousand metric tons of carbon dioxide),2325.7830,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
231,Ethiopia,2005,Emissions (thousand metric tons of carbon dioxide),4482.1240,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
231,Ethiopia,2010,Emissions (thousand metric tons of carbon dioxide),5898.5990,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
231,Ethiopia,2015,Emissions (thousand metric tons of carbon dioxide),10059.8910,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
231,Ethiopia,2016,Emissions (thousand metric tons of carbon dioxide),11843.0850,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
231,Ethiopia,2017,Emissions (thousand metric tons of carbon dioxide),13059.8150,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
231,Ethiopia,1975,Emissions per capita (metric tons of carbon dioxide),0.0360,Including Eritrea.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
231,Ethiopia,1985,Emissions per capita (metric tons of carbon dioxide),0.0340,Including Eritrea.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
231,Ethiopia,1995,Emissions per capita (metric tons of carbon dioxide),0.0410,Including Eritrea.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
231,Ethiopia,2005,Emissions per capita (metric tons of carbon dioxide),0.0580,Including Eritrea.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
231,Ethiopia,2010,Emissions per capita (metric tons of carbon dioxide),0.0670,Including Eritrea.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
231,Ethiopia,2015,Emissions per capita (metric tons of carbon dioxide),0.1010,Including Eritrea.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
231,Ethiopia,2016,Emissions per capita (metric tons of carbon dioxide),0.1160,Including Eritrea.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
231,Ethiopia,2017,Emissions per capita (metric tons of carbon dioxide),0.1240,Including Eritrea.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
246,Finland,1975,Emissions (thousand metric tons of carbon dioxide),44188.9170,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
246,Finland,1985,Emissions (thousand metric tons of carbon dioxide),48284.9140,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
246,Finland,1995,Emissions (thousand metric tons of carbon dioxide),55714.5780,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
246,Finland,2005,Emissions (thousand metric tons of carbon dioxide),54918.0430,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
246,Finland,2010,Emissions (thousand metric tons of carbon dioxide),62000.6730,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
246,Finland,2015,Emissions (thousand metric tons of carbon dioxide),42365.6430,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
246,Finland,2016,Emissions (thousand metric tons of carbon dioxide),45127.2340,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
246,Finland,2017,Emissions (thousand metric tons of carbon dioxide),42598.1750,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
246,Finland,1975,Emissions per capita (metric tons of carbon dioxide),9.3800,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
246,Finland,1985,Emissions per capita (metric tons of carbon dioxide),9.8500,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
246,Finland,1995,Emissions per capita (metric tons of carbon dioxide),10.9070,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
246,Finland,2005,Emissions per capita (metric tons of carbon dioxide),10.4690,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
246,Finland,2010,Emissions per capita (metric tons of carbon dioxide),11.5610,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
246,Finland,2015,Emissions per capita (metric tons of carbon dioxide),7.7300,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
246,Finland,2016,Emissions per capita (metric tons of carbon dioxide),8.2120,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
246,Finland,2017,Emissions per capita (metric tons of carbon dioxide),7.7340,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
250,France,1975,Emissions (thousand metric tons of carbon dioxide),423108.0470,Including Monaco.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
250,France,1985,Emissions (thousand metric tons of carbon dioxide),351797.9850,Including Monaco.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
250,France,1995,Emissions (thousand metric tons of carbon dioxide),343648.1150,Including Monaco.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
250,France,2005,Emissions (thousand metric tons of carbon dioxide),371892.9100,Including Monaco.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
250,France,2010,Emissions (thousand metric tons of carbon dioxide),340218.0900,Including Monaco.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
250,France,2015,Emissions (thousand metric tons of carbon dioxide),299640.5830,Including Monaco.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
250,France,2016,Emissions (thousand metric tons of carbon dioxide),301695.8520,Including Monaco.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
250,France,2017,Emissions (thousand metric tons of carbon dioxide),306123.5410,Including Monaco.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
250,France,1975,Emissions per capita (metric tons of carbon dioxide),7.8450,Including Monaco.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
250,France,1985,Emissions per capita (metric tons of carbon dioxide),6.2090,Including Monaco.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
250,France,1995,Emissions per capita (metric tons of carbon dioxide),5.7730,Including Monaco.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
250,France,2005,Emissions per capita (metric tons of carbon dioxide),5.8870,Including Monaco.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
250,France,2010,Emissions per capita (metric tons of carbon dioxide),5.2330,Including Monaco.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
250,France,2015,Emissions per capita (metric tons of carbon dioxide),4.5000,"Including Monaco.;From 2011 onwards, data include Monaco and the overseas departments (Guadeloupe, French Guiana, Martinique, Mayotte and Réunion), excluding the overseas collectivities: New Caledonia, French Polynesia, Saint Barthélemy, Saint Martin, St. Pierre and Miquelon, and Wallis and Futuna.","International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
250,France,2016,Emissions per capita (metric tons of carbon dioxide),4.5150,"Including Monaco.;From 2011 onwards, data include Monaco and the overseas departments (Guadeloupe, French Guiana, Martinique, Mayotte and Réunion), excluding the overseas collectivities: New Caledonia, French Polynesia, Saint Barthélemy, Saint Martin, St. Pierre and Miquelon, and Wallis and Futuna.","International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
250,France,2017,Emissions per capita (metric tons of carbon dioxide),4.5650,"Including Monaco.;From 2011 onwards, data include Monaco and the overseas departments (Guadeloupe, French Guiana, Martinique, Mayotte and Réunion), excluding the overseas collectivities: New Caledonia, French Polynesia, Saint Barthélemy, Saint Martin, St. Pierre and Miquelon, and Wallis and Futuna.","International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
266,Gabon,1975,Emissions (thousand metric tons of carbon dioxide),757.3190,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
266,Gabon,1985,Emissions (thousand metric tons of carbon dioxide),1682.4880,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
266,Gabon,1995,Emissions (thousand metric tons of carbon dioxide),1315.2460,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
266,Gabon,2005,Emissions (thousand metric tons of carbon dioxide),1733.4850,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
266,Gabon,2010,Emissions (thousand metric tons of carbon dioxide),2659.6380,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
266,Gabon,2015,Emissions (thousand metric tons of carbon dioxide),3252.5220,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
266,Gabon,2016,Emissions (thousand metric tons of carbon dioxide),3357.4830,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
266,Gabon,2017,Emissions (thousand metric tons of carbon dioxide),3367.9110,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
266,Gabon,1975,Emissions per capita (metric tons of carbon dioxide),1.1650,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
266,Gabon,1985,Emissions per capita (metric tons of carbon dioxide),2.0270,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
266,Gabon,1995,Emissions per capita (metric tons of carbon dioxide),1.2110,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
266,Gabon,2005,Emissions per capita (metric tons of carbon dioxide),1.2360,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
266,Gabon,2010,Emissions per capita (metric tons of carbon dioxide),1.6220,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
266,Gabon,2015,Emissions per capita (metric tons of carbon dioxide),1.6850,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
266,Gabon,2016,Emissions per capita (metric tons of carbon dioxide),1.6960,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
266,Gabon,2017,Emissions per capita (metric tons of carbon dioxide),1.6630,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
268,Georgia,1995,Emissions (thousand metric tons of carbon dioxide),8136.8470,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
268,Georgia,2005,Emissions (thousand metric tons of carbon dioxide),4065.6560,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
268,Georgia,2010,Emissions (thousand metric tons of carbon dioxide),4995.0270,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
268,Georgia,2015,Emissions (thousand metric tons of carbon dioxide),8383.1160,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
268,Georgia,2016,Emissions (thousand metric tons of carbon dioxide),8809.0050,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
268,Georgia,2017,Emissions (thousand metric tons of carbon dioxide),8720.3000,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
268,Georgia,1995,Emissions per capita (metric tons of carbon dioxide),1.7190,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
268,Georgia,2005,Emissions per capita (metric tons of carbon dioxide),0.9700,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
268,Georgia,2010,Emissions per capita (metric tons of carbon dioxide),1.2720,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
268,Georgia,2015,Emissions per capita (metric tons of carbon dioxide),2.2550,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
268,Georgia,2016,Emissions per capita (metric tons of carbon dioxide),2.3690,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
268,Georgia,2017,Emissions per capita (metric tons of carbon dioxide),2.3460,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
276,Germany,1975,Emissions (thousand metric tons of carbon dioxide),973365.9090,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
276,Germany,1985,Emissions (thousand metric tons of carbon dioxide),1004256.0980,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
276,Germany,1995,Emissions (thousand metric tons of carbon dioxide),856596.9150,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
276,Germany,2005,Emissions (thousand metric tons of carbon dioxide),786664.2970,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
276,Germany,2010,Emissions (thousand metric tons of carbon dioxide),758802.6020,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
276,Germany,2015,Emissions (thousand metric tons of carbon dioxide),729684.0980,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
276,Germany,2016,Emissions (thousand metric tons of carbon dioxide),734487.0520,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
276,Germany,2017,Emissions (thousand metric tons of carbon dioxide),718794.0850,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
276,Germany,1975,Emissions per capita (metric tons of carbon dioxide),12.3710,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
276,Germany,1985,Emissions per capita (metric tons of carbon dioxide),12.9300,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
276,Germany,1995,Emissions per capita (metric tons of carbon dioxide),10.5350,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
276,Germany,2005,Emissions per capita (metric tons of carbon dioxide),9.6720,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
276,Germany,2010,Emissions per capita (metric tons of carbon dioxide),9.4510,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
276,Germany,2015,Emissions per capita (metric tons of carbon dioxide),8.9330,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
276,Germany,2016,Emissions per capita (metric tons of carbon dioxide),8.9190,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
276,Germany,2017,Emissions per capita (metric tons of carbon dioxide),8.6960,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
288,Ghana,1975,Emissions (thousand metric tons of carbon dioxide),2305.8180,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
288,Ghana,1985,Emissions (thousand metric tons of carbon dioxide),2067.2340,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
288,Ghana,1995,Emissions (thousand metric tons of carbon dioxide),3184.3940,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
288,Ghana,2005,Emissions (thousand metric tons of carbon dioxide),6306.5080,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
288,Ghana,2010,Emissions (thousand metric tons of carbon dioxide),10419.6490,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
288,Ghana,2015,Emissions (thousand metric tons of carbon dioxide),14088.7580,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
288,Ghana,2016,Emissions (thousand metric tons of carbon dioxide),12967.6980,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
288,Ghana,2017,Emissions (thousand metric tons of carbon dioxide),13779.6350,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
288,Ghana,1975,Emissions per capita (metric tons of carbon dioxide),0.2350,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
288,Ghana,1985,Emissions per capita (metric tons of carbon dioxide),0.1630,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
288,Ghana,1995,Emissions per capita (metric tons of carbon dioxide),0.1900,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
288,Ghana,2005,Emissions per capita (metric tons of carbon dioxide),0.2930,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
288,Ghana,2010,Emissions per capita (metric tons of carbon dioxide),0.4250,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
288,Ghana,2015,Emissions per capita (metric tons of carbon dioxide),0.5110,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
288,Ghana,2016,Emissions per capita (metric tons of carbon dioxide),0.4600,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
288,Ghana,2017,Emissions per capita (metric tons of carbon dioxide),0.4780,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
292,Gibraltar,1975,Emissions (thousand metric tons of carbon dioxide),62.0360,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
292,Gibraltar,1985,Emissions (thousand metric tons of carbon dioxide),90.0960,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
292,Gibraltar,1995,Emissions (thousand metric tons of carbon dioxide),280.8030,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
292,Gibraltar,2005,Emissions (thousand metric tons of carbon dioxide),405.6630,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
292,Gibraltar,2010,Emissions (thousand metric tons of carbon dioxide),474.1950,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
292,Gibraltar,2015,Emissions (thousand metric tons of carbon dioxide),589.6190,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
292,Gibraltar,2016,Emissions (thousand metric tons of carbon dioxide),645.6920,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
292,Gibraltar,2017,Emissions (thousand metric tons of carbon dioxide),703.9000,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
292,Gibraltar,1975,Emissions per capita (metric tons of carbon dioxide),2.3860,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
