T27,Gross domestic expenditure on research and development (R&D),,,,,
446,"China, Macao SAR",2007,Gross domestic expenditure on R & D: Private non-profit (%),2.7781,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2007,Gross domestic expenditure on R & D: Funds from abroad (%),0.5936,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2007,Gross domestic expenditure on R & D: Not distributed (%),1.5671,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1016,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2008,Gross domestic expenditure on R & D: Business enterprises (%),0.1819,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2008,Gross domestic expenditure on R & D: Government (%),91.7385,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2008,Gross domestic expenditure on R & D: Private non-profit (%),1.3730,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2008,Gross domestic expenditure on R & D: Not distributed (%),0.2816,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.0503,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1355,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2015,Gross domestic expenditure on R & D: Government (%),87.2044,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2015,Gross domestic expenditure on R & D: Private non-profit (%),0.4685,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2015,Gross domestic expenditure on R & D: Not distributed (%),6.0882,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2035,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2018,Gross domestic expenditure on R & D: Government (%),66.6572,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2018,Gross domestic expenditure on R & D: Private non-profit (%),0.2790,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2018,Gross domestic expenditure on R & D: Not distributed (%),28.9538,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1513,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1953,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2010,Gross domestic expenditure on R & D: Business enterprises (%),23.1474,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2010,Gross domestic expenditure on R & D: Government (%),8.8643,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2010,Gross domestic expenditure on R & D: Higher education (%),39.8629,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2010,Gross domestic expenditure on R & D: Private non-profit (%),27.1675,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2010,Gross domestic expenditure on R & D: Funds from abroad (%),0.9580,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2898,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2015,Gross domestic expenditure on R & D: Business enterprises (%),44.6514,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2015,Gross domestic expenditure on R & D: Government (%),9.6361,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2015,Gross domestic expenditure on R & D: Higher education (%),28.6153,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2015,Gross domestic expenditure on R & D: Private non-profit (%),16.6610,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2015,Gross domestic expenditure on R & D: Funds from abroad (%),0.4361,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2429,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2017,Gross domestic expenditure on R & D: Business enterprises (%),49.1045,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2017,Gross domestic expenditure on R & D: Government (%),8.1685,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2017,Gross domestic expenditure on R & D: Higher education (%),22.7710,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2017,Gross domestic expenditure on R & D: Private non-profit (%),19.0897,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2017,Gross domestic expenditure on R & D: Funds from abroad (%),0.4550,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2017,Gross domestic expenditure on R & D: Not distributed (%),0.4114,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2370,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2004,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3745,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2009,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5203,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2009,Gross domestic expenditure on R & D: Business enterprises (%),28.7345,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2009,Gross domestic expenditure on R & D: Government (%),53.0416,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2009,Gross domestic expenditure on R & D: Private non-profit (%),2.8237,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2009,Gross domestic expenditure on R & D: Funds from abroad (%),1.6619,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2009,Gross domestic expenditure on R & D: Not distributed (%),13.7384,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4849,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4499,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2015,Gross domestic expenditure on R & D: Business enterprises (%),4.7107,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2015,Gross domestic expenditure on R & D: Government (%),57.4287,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2015,Gross domestic expenditure on R & D: Private non-profit (%),2.9335,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2015,Gross domestic expenditure on R & D: Funds from abroad (%),3.6923,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2015,Gross domestic expenditure on R & D: Not distributed (%),31.2349,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4234,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2017,Gross domestic expenditure on R & D: Business enterprises (%),3.6528,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2017,Gross domestic expenditure on R & D: Government (%),53.6025,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2017,Gross domestic expenditure on R & D: Private non-profit (%),0.0322,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2017,Gross domestic expenditure on R & D: Funds from abroad (%),6.7225,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2017,Gross domestic expenditure on R & D: Not distributed (%),35.9901,Including business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
384,Côte d’Ivoire,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.0956,Partial data.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.8569,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2005,Gross domestic expenditure on R & D: Business enterprises (%),34.2735,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2005,Gross domestic expenditure on R & D: Government (%),58.1477,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2005,Gross domestic expenditure on R & D: Higher education (%),4.9358,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.0476,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2005,Gross domestic expenditure on R & D: Funds from abroad (%),2.5955,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7422,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2010,Gross domestic expenditure on R & D: Business enterprises (%),38.8178,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2010,Gross domestic expenditure on R & D: Government (%),49.1560,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2010,Gross domestic expenditure on R & D: Higher education (%),1.9627,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.2004,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2010,Gross domestic expenditure on R & D: Funds from abroad (%),9.8632,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.8403,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2015,Gross domestic expenditure on R & D: Business enterprises (%),46.6422,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2015,Gross domestic expenditure on R & D: Government (%),36.3573,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2015,Gross domestic expenditure on R & D: Higher education (%),2.0335,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.4917,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2015,Gross domestic expenditure on R & D: Funds from abroad (%),14.4753,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.8645,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2017,Gross domestic expenditure on R & D: Business enterprises (%),42.5758,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2017,Gross domestic expenditure on R & D: Government (%),43.1118,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2017,Gross domestic expenditure on R & D: Higher education (%),3.4881,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2017,Gross domestic expenditure on R & D: Private non-profit (%),0.0695,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2017,Gross domestic expenditure on R & D: Funds from abroad (%),10.7549,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.9749,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5492,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2005,Gross domestic expenditure on R & D: Business enterprises (%),35.0128,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2005,Gross domestic expenditure on R & D: Government (%),59.9915,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2005,Gross domestic expenditure on R & D: Funds from abroad (%),4.9957,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6077,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2010,Gross domestic expenditure on R & D: Business enterprises (%),14.9911,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2010,Gross domestic expenditure on R & D: Government (%),75.0064,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2010,Gross domestic expenditure on R & D: Funds from abroad (%),10.0026,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4285,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2015,Gross domestic expenditure on R & D: Business enterprises (%),40.0107,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2015,Gross domestic expenditure on R & D: Government (%),55.0080,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2015,Gross domestic expenditure on R & D: Funds from abroad (%),4.9813,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3422,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2016,Gross domestic expenditure on R & D: Business enterprises (%),34.4739,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2016,Gross domestic expenditure on R & D: Government (%),62.0403,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2016,Gross domestic expenditure on R & D: Funds from abroad (%),1.9508,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2016,Gross domestic expenditure on R & D: Not distributed (%),1.5350,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4307,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2017,Gross domestic expenditure on R & D: Business enterprises (%),32.9897,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2017,Gross domestic expenditure on R & D: Government (%),66.0034,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2017,Gross domestic expenditure on R & D: Funds from abroad (%),1.0070,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2018,Gross domestic expenditure on R & D: Business enterprises (%),42.0045,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2018,Gross domestic expenditure on R & D: Government (%),56.3815,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2018,Gross domestic expenditure on R & D: Funds from abroad (%),1.6121,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3673,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2005,Gross domestic expenditure on R & D: Business enterprises (%),16.7567,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2005,Gross domestic expenditure on R & D: Government (%),66.9881,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2005,Gross domestic expenditure on R & D: Higher education (%),4.1625,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2005,Gross domestic expenditure on R & D: Private non-profit (%),1.1683,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2005,Gross domestic expenditure on R & D: Funds from abroad (%),10.9262,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4466,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2010,Gross domestic expenditure on R & D: Business enterprises (%),12.7497,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2010,Gross domestic expenditure on R & D: Government (%),68.3403,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2010,Gross domestic expenditure on R & D: Higher education (%),3.4769,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.4664,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2010,Gross domestic expenditure on R & D: Funds from abroad (%),14.9667,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2013,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4822,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2013,Gross domestic expenditure on R & D: Business enterprises (%),15.7713,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2013,Gross domestic expenditure on R & D: Government (%),59.4954,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2013,Gross domestic expenditure on R & D: Higher education (%),5.3973,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2013,Gross domestic expenditure on R & D: Private non-profit (%),0.5751,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2013,Gross domestic expenditure on R & D: Funds from abroad (%),18.7609,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2013,Gross domestic expenditure on R & D: Not distributed (%),0.0800,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4806,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
